round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,fed_avg,10.0,0.0,0.015658492222428322,0.9889557957649231,8.933001518249512
2,fed_avg,10.0,0.0,0.06174200400710106,0.9810745716094971,8.984453201293945
3,fed_avg,15.03,0.0,0.041579149663448334,0.9799869060516357,9.023144721984863
4,fed_avg,13.38,0.0,0.022465812042355537,0.9840969443321228,9.058042526245117
5,fed_avg,19.11,0.0,0.015660861507058144,0.9873933792114258,9.091309547424316
6,fed_avg,14.12,0.0,0.013338018208742142,0.9866513609886169,9.114850044250488
7,fed_avg,19.37,0.0,0.016732187941670418,0.987228512763977,9.146289825439453
8,fed_avg,12.94,0.0,0.02117231674492359,0.9838808178901672,9.171185493469238
9,fed_avg,18.51,0.0,0.027804819867014885,0.9843131899833679,9.19443130493164
10,fed_avg,13.55,0.0,0.024632638320326805,0.9824512004852295,9.211195945739746
11,fed_avg,17.78,0.0,0.03411982208490372,0.9836603403091431,9.244786262512207
12,fed_avg,14.35,0.0,0.024686207994818687,0.9830211997032166,9.26015567779541
13,fed_avg,18.83,0.0,0.03524056077003479,0.9829376935958862,9.294297218322754
14,fed_avg,13.86,0.0,0.031376659870147705,0.9819291234016418,9.310723304748535
15,fed_avg,22.15,0.0,0.03762353956699371,0.9820588231086731,9.344627380371094
16,fed_avg,14.06,0.0,0.03506917133927345,0.982234001159668,9.36689567565918
17,fed_avg,23.44,0.0,0.028208209201693535,0.9832295179367065,9.3958158493042
18,fed_avg,16.98,0.0,0.03523564338684082,0.9821063280105591,9.422330856323242
19,fed_avg,23.12,0.0,0.027491996064782143,0.9836438894271851,9.44708251953125
20,fed_avg,20.68,0.0,0.0353720486164093,0.9823594093322754,9.48289680480957
21,fed_avg,26.58,0.0,0.022594744339585304,0.9852396249771118,9.506525993347168
22,fed_avg,23.34,0.0,0.025263944640755653,0.9851477742195129,9.54171371459961
23,fed_avg,28.35,0.0,0.015047525055706501,0.9876590371131897,9.566142082214355
24,fed_avg,24.19,0.0,0.02193879894912243,0.9863450527191162,9.600839614868164
25,fed_avg,30.09,0.0,0.015119165182113647,0.9882787466049194,9.625150680541992
26,fed_avg,24.07,0.0,0.019059179350733757,0.9870163202285767,9.65680980682373
27,fed_avg,31.49,0.0,0.014950763434171677,0.9886012673377991,9.682682991027832
28,fed_avg,23.37,0.0,0.019456123933196068,0.9873961210250854,9.714493751525879
29,fed_avg,34.7,0.0,0.013744902797043324,0.9893466830253601,9.740464210510254
30,fed_avg,23.01,0.0,0.018276209011673927,0.9876468181610107,9.773407936096191
31,fed_avg,34.29,0.0,0.014077181927859783,0.9892337918281555,9.797182083129883
32,fed_avg,21.94,0.0,0.021123575046658516,0.987138032913208,9.827306747436523
33,fed_avg,33.19,0.0,0.015608864836394787,0.9890393614768982,9.856372833251953
34,fed_avg,23.48,0.0,0.02583487518131733,0.9866355657577515,9.884970664978027
35,fed_avg,31.91,0.0,0.016517125070095062,0.9885287284851074,9.91399097442627
36,fed_avg,26.12,0.0,0.0283834096044302,0.9863275289535522,9.941346168518066
37,fed_avg,32.65,0.0,0.013809039257466793,0.9890177249908447,9.966198921203613
38,fed_avg,28.55,0.0,0.025364665314555168,0.9871503710746765,9.995452880859375
39,fed_avg,33.06,0.0,0.014280694536864758,0.98931485414505,10.022791862487793
40,fed_avg,28.6,0.0,0.022735852748155594,0.9876646995544434,10.044693946838379
41,fed_avg,32.63,0.0,0.013283999636769295,0.9893227219581604,10.069581031799316
42,fed_avg,30.67,0.0,0.021471505984663963,0.9882680177688599,10.095258712768555
43,fed_avg,36.0,0.0,0.010795763693749905,0.9900540709495544,10.11707592010498
44,fed_avg,32.18,0.0,0.017909815534949303,0.989430844783783,10.14150333404541
45,fed_avg,36.83,0.0,0.01057235337793827,0.9903958439826965,10.164593696594238
46,fed_avg,33.41,0.0,0.01589030586183071,0.9898784756660461,10.188468933105469
47,fed_avg,37.27,0.0,0.010522641241550446,0.9905980825424194,10.211739540100098
48,fed_avg,34.47,0.0,0.014240344986319542,0.9903033375740051,10.233651161193848
49,fed_avg,38.1,0.0,0.009801463223993778,0.9910003542900085,10.25602912902832
50,fed_avg,35.74,0.0,0.011982006952166557,0.9906991124153137,10.275799751281738
