round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,krum,10.09,0.0,8.466860163025558e-05,0.9986058473587036,8.929400444030762
2,krum,9.98,0.0,7.676222594454885e-05,0.9986059665679932,8.92845630645752
3,krum,10.0,0.0,7.941387593746185e-05,0.9986066818237305,8.92939281463623
4,krum,10.0,0.0,8.806275582173839e-05,0.9985691905021667,8.930649757385254
5,krum,11.66,0.0,0.00010698261758079752,0.9985334873199463,8.93354320526123
6,krum,10.0,0.0,0.00013755560212302953,0.9984585642814636,8.936605453491211
7,krum,10.0,0.0,0.00019734082161448896,0.9983324408531189,8.941770553588867
8,krum,10.0,0.0,0.0002834353654179722,0.9981776475906372,8.946473121643066
9,krum,10.0,0.0,0.00041001805220730603,0.9979246854782104,8.954103469848633
10,krum,10.0,0.0,0.0005198966828174889,0.9977378845214844,8.959747314453125
11,krum,10.76,0.0,0.00046036866842769086,0.997869610786438,8.957846641540527
12,krum,10.0,0.0,0.0005406478303484619,0.9977001547813416,8.963577270507812
13,krum,13.61,0.0,0.000554175116121769,0.9974415302276611,8.971475601196289
14,krum,10.0,0.0,0.0006789397448301315,0.9972168207168579,8.976781845092773
15,krum,10.0,0.0,0.0005589655484072864,0.9974250197410583,8.97769546508789
16,krum,10.0,0.0,0.0006683018291369081,0.997247040271759,8.982263565063477
17,krum,10.87,0.0,0.0006228587590157986,0.9971184730529785,8.98768138885498
18,krum,10.02,0.0,0.000719086907338351,0.9970346093177795,8.991376876831055
19,krum,10.0,0.0,0.0006129471585154533,0.9972236752510071,8.994215965270996
20,krum,10.0,0.0,0.0006343420827761292,0.9967987537384033,9.0043363571167
21,krum,10.0,0.0,0.0006546234944835305,0.9965296983718872,9.01389217376709
22,krum,10.0,0.0,0.0006794400396756828,0.9963349103927612,9.023368835449219
23,krum,10.7,0.0,0.0007090262952260673,0.9962445497512817,9.034089088439941
24,krum,12.7,0.0,0.0006902661989443004,0.9963861107826233,9.045354843139648
25,krum,13.24,0.0,0.0006552464328706264,0.996450662612915,9.057544708251953
26,krum,13.96,0.0,0.0006416785181500018,0.9964972734451294,9.070037841796875
27,krum,14.89,0.0,0.0006224033422768116,0.9965717792510986,9.082274436950684
28,krum,14.71,0.0,0.0006222033407539129,0.9966620802879333,9.09549331665039
29,krum,15.99,0.0,0.0005917574162594974,0.996724009513855,9.10844612121582
30,krum,17.44,0.0,0.0005863019614480436,0.9967858195304871,9.122639656066895
31,krum,18.72,0.0,0.0005938605754636228,0.9968347549438477,9.137332916259766
32,krum,19.64,0.0,0.0005925854784436524,0.9969449639320374,9.153443336486816
33,krum,20.79,0.0,0.0005116825923323631,0.9970578551292419,9.168314933776855
34,krum,20.43,0.0,0.000531743629835546,0.9970768094062805,9.183136940002441
35,krum,20.54,0.0,0.0005085940938442945,0.9971415996551514,9.197239875793457
36,krum,20.08,0.0,0.00045275603770278394,0.9971940517425537,9.211676597595215
37,krum,20.98,0.0,0.0004450357228051871,0.9972317814826965,9.224559783935547
38,krum,21.41,0.0,0.0004262475704308599,0.9972715973854065,9.23768424987793
39,krum,21.48,0.0,0.00042580312583595514,0.9972958564758301,9.249737739562988
40,krum,21.29,0.0,0.00038803921779617667,0.9973449110984802,9.264056205749512
41,krum,21.66,0.0,0.00040208391146734357,0.9973075985908508,9.27619743347168
42,krum,21.17,0.0,0.0003572312125470489,0.9973723888397217,9.288619041442871
43,krum,22.01,0.0,0.00038436814793385565,0.9973887205123901,9.301033973693848
44,krum,23.6,0.0,0.00037889849045313895,0.9974063634872437,9.313794136047363
45,krum,23.94,0.0,0.00034982230863533914,0.9974197149276733,9.32784652709961
46,krum,22.74,0.0,0.00036525269388221204,0.9974747896194458,9.33927059173584
47,krum,24.42,0.0,0.00035225533065386117,0.9974237084388733,9.353742599487305
48,krum,24.98,0.0,0.0003378485271241516,0.9975193738937378,9.369124412536621
49,krum,23.83,0.0,0.00034082416095770895,0.9974963068962097,9.383548736572266
50,krum,24.9,0.0,0.0003577502502594143,0.9975177049636841,9.395620346069336
