round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,krum,10.21,0.0,7.344188634306192e-05,0.998094916343689,8.855403900146484
2,krum,10.0,0.0,6.858995038783178e-05,0.998078465461731,8.855956077575684
3,krum,10.0,0.0,7.721793372184038e-05,0.9980347156524658,8.858834266662598
4,krum,10.0,0.0,9.654686436988413e-05,0.9979752898216248,8.863506317138672
5,krum,10.0,0.0,0.00013255735393613577,0.9978725910186768,8.86994457244873
6,krum,10.0,0.0,0.00018788778106682003,0.9977328181266785,8.877702713012695
7,krum,10.0,0.0,0.00018960812303703278,0.9977452158927917,8.875800132751465
8,krum,10.0,0.0,0.0002653159317560494,0.9975850582122803,8.883954048156738
9,krum,10.0,0.0,0.00039145976188592613,0.9974169135093689,8.887470245361328
10,krum,10.0,0.0,0.0005075762164779007,0.9971980452537537,8.896222114562988
11,krum,10.0,0.0,0.0005754338926635683,0.9969528913497925,8.904709815979004
12,krum,10.0,0.0,0.0007103231619112194,0.9967201948165894,8.913273811340332
13,krum,11.85,0.0,0.0007777716382406652,0.9964337944984436,8.923376083374023
14,krum,10.0,0.0,0.0007458305917680264,0.996057391166687,8.937848091125488
15,krum,13.77,0.0,0.0007797940052114427,0.9960008859634399,8.945148468017578
16,krum,11.5,0.0,0.0006349680479615927,0.9955419301986694,8.964929580688477
17,krum,13.37,0.0,0.0007285003084689379,0.9957296848297119,8.969653129577637
18,krum,14.63,0.0,0.0005567348562180996,0.9955283999443054,8.988347053527832
19,krum,14.79,0.0,0.0004516227636486292,0.995569109916687,9.003244400024414
20,krum,15.33,0.0,0.0003568675019778311,0.9955353140830994,9.020529747009277
21,krum,15.66,0.0,0.0002887246082536876,0.9955623149871826,9.036478042602539
22,krum,15.92,0.0,0.00025673312484286726,0.9956326484680176,9.049800872802734
23,krum,16.16,0.0,0.0002484903088770807,0.9957205653190613,9.062856674194336
24,krum,16.13,0.0,0.00023437348136212677,0.9957336187362671,9.073809623718262
25,krum,16.5,0.0,0.00023077442892827094,0.9958024024963379,9.084466934204102
26,krum,18.14,0.0,0.0002185132761951536,0.9958809018135071,9.095165252685547
27,krum,17.13,0.0,0.00023327516100835055,0.9959431290626526,9.104623794555664
28,krum,18.86,0.0,0.00023609503114130348,0.995957612991333,9.115133285522461
29,krum,19.05,0.0,0.0002432967012282461,0.9960260391235352,9.125064849853516
30,krum,19.72,0.0,0.00023952775518409908,0.9961410164833069,9.137537956237793
31,krum,19.36,0.0,0.0002268973330501467,0.9962383508682251,9.1483736038208
32,krum,19.75,0.0,0.00023537040397059172,0.9962688088417053,9.160327911376953
33,krum,20.43,0.0,0.0002154713001800701,0.9963313341140747,9.172795295715332
34,krum,20.07,0.0,0.00023627793416380882,0.9963926076889038,9.186360359191895
35,krum,20.24,0.0,0.00022243823332246393,0.9964609742164612,9.198018074035645
36,krum,19.85,0.0,0.0002503852010704577,0.9965079426765442,9.210874557495117
37,krum,20.04,0.0,0.00023709879314992577,0.9965780377388,9.224223136901855
38,krum,20.86,0.0,0.00023912746109999716,0.9966771602630615,9.237845420837402
39,krum,20.24,0.0,0.00023022359528113157,0.9966450333595276,9.250332832336426
40,krum,20.71,0.0,0.00025457958690822124,0.9967296719551086,9.263666152954102
41,krum,20.16,0.0,0.0002384235558565706,0.9967671036720276,9.276713371276855
42,krum,20.76,0.0,0.00023686290660407394,0.9968200325965881,9.291035652160645
43,krum,19.76,0.0,0.00025263545103371143,0.9968454837799072,9.305699348449707
44,krum,21.14,0.0,0.00024154831771738827,0.9969602227210999,9.32088851928711
45,krum,20.81,0.0,0.00024055034737102687,0.996882438659668,9.335700035095215
46,krum,20.99,0.0,0.00025700038531795144,0.9970210194587708,9.351733207702637
47,krum,20.88,0.0,0.000223651179112494,0.9970310926437378,9.367949485778809
48,krum,21.41,0.0,0.00022907655511517078,0.9970979690551758,9.384889602661133
49,krum,21.65,0.0,0.00021344856941141188,0.9971504211425781,9.401641845703125
50,krum,21.41,0.0,0.00023206230252981186,0.9972174763679504,9.41856861114502
