round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,median,11.06,0.0,7.344188634306192e-05,0.998094916343689,8.855403900146484
2,median,10.0,0.0,8.694174175616354e-05,0.9980387091636658,8.856926918029785
3,median,10.0,0.0,0.00011339230695739388,0.9979555010795593,8.861014366149902
4,median,10.0,0.0,0.00016952883743215352,0.99782395362854,8.86804485321045
5,median,10.02,0.0,0.00030360903474502265,0.9975656867027283,8.878692626953125
6,median,10.69,0.0,0.0004932750016450882,0.9972105622291565,8.893939018249512
7,median,13.54,0.0,0.0005718762404285371,0.9968675971031189,8.915740966796875
8,median,13.34,0.0,0.00045261727063916624,0.9963626861572266,8.949387550354004
9,median,13.46,0.0,0.00019461478223092854,0.9964392781257629,8.986985206604004
10,median,13.04,0.0,0.00010795346315717325,0.9968816041946411,9.018648147583008
11,median,12.6,0.0,9.062015305971727e-05,0.9973143339157104,9.044136047363281
12,median,13.17,0.0,9.882091399049386e-05,0.9975830316543579,9.067174911499023
13,median,13.85,0.0,9.979059541365132e-05,0.9976755380630493,9.087468147277832
14,median,13.76,0.0,7.131395977921784e-05,0.9977669715881348,9.107110977172852
15,median,14.19,0.0,8.993597293738276e-05,0.9977818131446838,9.126643180847168
16,median,15.09,0.0,7.524824468418956e-05,0.9978111386299133,9.148639678955078
17,median,15.99,0.0,7.921628275653347e-05,0.9978362917900085,9.170870780944824
18,median,16.96,0.0,7.781712338328362e-05,0.9978768229484558,9.196454048156738
19,median,17.59,0.0,9.529038652544841e-05,0.9979543089866638,9.222091674804688
20,median,18.13,0.0,0.0001063043819158338,0.9979645013809204,9.248967170715332
21,median,18.27,0.0,0.00010996370838256553,0.9980149269104004,9.276148796081543
22,median,19.07,0.0,0.00012151672854088247,0.9980305433273315,9.302865028381348
23,median,18.9,0.0,0.00010219181422144175,0.9980911016464233,9.328749656677246
24,median,19.78,0.0,0.00010619225213304162,0.9981272220611572,9.353315353393555
25,median,20.19,0.0,0.00011907569569302723,0.9981651306152344,9.379692077636719
26,median,22.29,0.0,9.739428787725046e-05,0.9981797337532043,9.40538501739502
27,median,23.15,0.0,9.125577344093472e-05,0.9982471466064453,9.432440757751465
28,median,22.66,0.0,9.268317808164284e-05,0.9982672929763794,9.458473205566406
29,median,23.61,0.0,8.744119986658916e-05,0.9983212351799011,9.485060691833496
30,median,24.23,0.0,0.00010503660450922325,0.9983035326004028,9.511651039123535
31,median,24.65,0.0,9.175173181574792e-05,0.9983740448951721,9.537691116333008
32,median,24.98,0.0,8.676692232256755e-05,0.998368501663208,9.565299987792969
33,median,25.67,0.0,8.436045027337968e-05,0.9983704090118408,9.593229293823242
34,median,26.0,0.0,7.416963489959016e-05,0.9983949661254883,9.623263359069824
35,median,26.29,0.0,9.054112888406962e-05,0.9984379410743713,9.65245532989502
36,median,27.02,0.0,6.835279782535508e-05,0.9984386563301086,9.681583404541016
37,median,28.38,0.0,7.671608909731731e-05,0.998453676700592,9.711160659790039
38,median,28.28,0.0,8.142099977703765e-05,0.9984649419784546,9.741978645324707
39,median,28.7,0.0,7.52035339246504e-05,0.9984629154205322,9.773393630981445
40,median,29.23,0.0,8.343858644366264e-05,0.9985382556915283,9.804734230041504
41,median,29.59,0.0,7.157545769587159e-05,0.9985280632972717,9.836185455322266
42,median,29.86,0.0,7.101025403244421e-05,0.9985703825950623,9.868824005126953
43,median,30.02,0.0,7.888188702054322e-05,0.9985625743865967,9.90091323852539
44,median,30.6,0.0,7.149569864850491e-05,0.9986128807067871,9.933634757995605
45,median,30.99,0.0,7.87655299063772e-05,0.998612642288208,9.965994834899902
46,median,31.25,0.0,7.660754636162892e-05,0.9986256957054138,9.998414039611816
47,median,31.86,0.0,7.068316335789859e-05,0.9986444115638733,10.031292915344238
48,median,32.22,0.0,5.8136512961937115e-05,0.9986701011657715,10.064262390136719
49,median,31.96,0.0,5.476977094076574e-05,0.9986963272094727,10.096328735351562
50,median,33.25,0.0,5.8893743698718026e-05,0.9986883997917175,10.127120971679688
