round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,fed_avg,10.0,0.0,0.404279887676239,0.9458003640174866,8.999554634094238
2,fed_avg,10.01,0.0,0.13573762774467468,0.9634352326393127,9.05471420288086
3,fed_avg,10.0,0.0,0.09850770235061646,0.9604818820953369,9.053563117980957
4,fed_avg,12.1,0.0,0.11716853827238083,0.9643778204917908,9.078396797180176
5,fed_avg,13.83,0.0,0.1717415601015091,0.9553854465484619,9.094125747680664
6,fed_avg,11.18,0.0,0.08148875087499619,0.9691137671470642,9.125955581665039
7,fed_avg,13.37,0.0,0.1033693328499794,0.9644697308540344,9.15073013305664
8,fed_avg,15.41,0.0,0.08842944353818893,0.9682187438011169,9.16769027709961
9,fed_avg,19.05,0.0,0.10467692464590073,0.9648512005805969,9.19900131225586
10,fed_avg,15.58,0.0,0.0599098838865757,0.973145604133606,9.220722198486328
11,fed_avg,18.82,0.0,0.07096514850854874,0.9702388048171997,9.245499610900879
12,fed_avg,19.09,0.0,0.0561465322971344,0.9735469222068787,9.263914108276367
13,fed_avg,20.15,0.0,0.06032655015587807,0.972831130027771,9.288909912109375
14,fed_avg,17.7,0.0,0.050104279071092606,0.9745532274246216,9.309130668640137
15,fed_avg,19.77,0.0,0.05561506748199463,0.9744312167167664,9.331180572509766
16,fed_avg,12.83,0.0,0.0643400177359581,0.9707647562026978,9.347145080566406
17,fed_avg,21.03,0.0,0.08767043054103851,0.9717376232147217,9.369384765625
18,fed_avg,13.0,0.0,0.14423306286334991,0.9599732756614685,9.383867263793945
19,fed_avg,23.56,0.0,0.1196412518620491,0.9666849374771118,9.402487754821777
20,fed_avg,15.74,0.0,0.12384281307458878,0.9665824770927429,9.443536758422852
21,fed_avg,25.74,0.0,0.054584238678216934,0.9745131134986877,9.467672348022461
22,fed_avg,15.26,0.0,0.0569755844771862,0.976313591003418,9.502840995788574
23,fed_avg,26.7,0.0,0.049448125064373016,0.9743211269378662,9.51441764831543
24,fed_avg,17.29,0.0,0.0647527202963829,0.9753243327140808,9.549067497253418
25,fed_avg,30.05,0.0,0.03894606605172157,0.9767568111419678,9.560681343078613
26,fed_avg,19.79,0.0,0.05256802961230278,0.9775949716567993,9.593706130981445
27,fed_avg,29.61,0.0,0.031122716143727303,0.9790363907814026,9.604823112487793
28,fed_avg,22.44,0.0,0.05508678779006004,0.9766228795051575,9.629846572875977
29,fed_avg,28.61,0.0,0.03413432091474533,0.9780590534210205,9.636516571044922
30,fed_avg,24.32,0.0,0.06433389335870743,0.9749534726142883,9.66438102722168
31,fed_avg,28.36,0.0,0.03549305349588394,0.9783045053482056,9.670578002929688
32,fed_avg,24.36,0.0,0.05382344499230385,0.9758537411689758,9.696130752563477
33,fed_avg,21.8,0.0,0.040138259530067444,0.9784455299377441,9.7066011428833
34,fed_avg,25.66,0.0,0.07712680101394653,0.9715614914894104,9.724774360656738
35,fed_avg,21.29,0.0,0.07275190204381943,0.9740272760391235,9.732504844665527
36,fed_avg,26.32,0.0,0.07274821400642395,0.9724088311195374,9.762430191040039
37,fed_avg,21.24,0.0,0.05405624955892563,0.9760982990264893,9.77436351776123
38,fed_avg,22.6,0.0,0.05500858649611473,0.9747403264045715,9.797900199890137
39,fed_avg,25.02,0.0,0.0538279265165329,0.975744903087616,9.814532279968262
40,fed_avg,21.69,0.0,0.04530538246035576,0.976686954498291,9.834869384765625
41,fed_avg,27.23,0.0,0.04781292378902435,0.9772529006004333,9.857595443725586
42,fed_avg,21.81,0.0,0.044631920754909515,0.9773712754249573,9.875436782836914
43,fed_avg,30.12,0.0,0.0489821694791317,0.977658748626709,9.896215438842773
44,fed_avg,22.74,0.0,0.04193275794386864,0.9784014821052551,9.914166450500488
45,fed_avg,33.09,0.0,0.041720595210790634,0.9795438051223755,9.93496322631836
46,fed_avg,19.57,0.0,0.04271721467375755,0.9782322645187378,9.949975967407227
47,fed_avg,34.54,0.0,0.041161250323057175,0.9795747995376587,9.970588684082031
48,fed_avg,18.98,0.0,0.04476911574602127,0.9786645770072937,9.986055374145508
49,fed_avg,33.01,0.0,0.03732040524482727,0.9795230627059937,10.002145767211914
50,fed_avg,20.17,0.0,0.053752947598695755,0.9778146743774414,10.023590087890625
