round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,fed_avg,10.0,0.0,7.344188634306192e-05,0.998094916343689,8.855403900146484
2,fed_avg,10.0,0.0,0.00012672394223045558,0.9979151487350464,8.860224723815918
3,fed_avg,10.0,0.0,0.000368951732525602,0.997452437877655,8.86904239654541
4,fed_avg,10.92,0.0,0.0006041018641553819,0.996908962726593,8.885818481445312
5,fed_avg,15.17,0.0,0.00043618687777779996,0.9962659478187561,8.916444778442383
6,fed_avg,13.14,0.0,0.00016826919454615563,0.9964501261711121,8.947427749633789
7,fed_avg,12.4,0.0,0.00010422550985822454,0.9971213340759277,8.972343444824219
8,fed_avg,13.48,0.0,9.348926687380299e-05,0.9975589513778687,8.992871284484863
9,fed_avg,14.24,0.0,9.867789776762947e-05,0.9977773427963257,9.011613845825195
10,fed_avg,15.73,0.0,8.13779333839193e-05,0.9979352355003357,9.027918815612793
11,fed_avg,17.75,0.0,6.599619518965483e-05,0.9979652166366577,9.042747497558594
12,fed_avg,17.96,0.0,8.551310020266101e-05,0.9980554580688477,9.059501647949219
13,fed_avg,19.44,0.0,9.595620213076472e-05,0.998064398765564,9.077576637268066
14,fed_avg,19.86,0.0,8.844207332003862e-05,0.998146116733551,9.094733238220215
15,fed_avg,20.49,0.0,0.00011352082947269082,0.9981927871704102,9.11064338684082
16,fed_avg,21.12,0.0,9.645217505749315e-05,0.9982296824455261,9.125714302062988
17,fed_avg,22.52,0.0,0.00010574700718279928,0.9982743263244629,9.139841079711914
18,fed_avg,23.25,0.0,9.668608981883153e-05,0.9982858896255493,9.154899597167969
19,fed_avg,24.39,0.0,0.0001152299446403049,0.9983511567115784,9.168396949768066
20,fed_avg,25.37,0.0,0.00011080854892497882,0.9983538389205933,9.183103561401367
21,fed_avg,25.86,0.0,0.00010765584011096507,0.9983662366867065,9.198108673095703
22,fed_avg,27.15,0.0,0.00010704747546697035,0.9983582496643066,9.213136672973633
23,fed_avg,27.1,0.0,9.508198127150536e-05,0.9983808398246765,9.229106903076172
24,fed_avg,28.09,0.0,9.387861791765317e-05,0.998408317565918,9.245038986206055
25,fed_avg,28.52,0.0,0.00011063431156799197,0.998417317867279,9.262655258178711
26,fed_avg,30.34,0.0,9.717518696561456e-05,0.998408854007721,9.27907943725586
27,fed_avg,30.29,0.0,8.90294904820621e-05,0.9984555244445801,9.297417640686035
28,fed_avg,31.06,0.0,9.428028715774417e-05,0.9984716773033142,9.314987182617188
29,fed_avg,31.36,0.0,0.00010670968913473189,0.9985074996948242,9.333096504211426
30,fed_avg,31.73,0.0,0.00012022560986224562,0.9984910488128662,9.351463317871094
31,fed_avg,32.58,0.0,0.00012112394324503839,0.998534619808197,9.369422912597656
32,fed_avg,32.56,0.0,0.00011372071458026767,0.9985387921333313,9.387365341186523
33,fed_avg,32.65,0.0,0.00010888346150750294,0.9985535144805908,9.405935287475586
34,fed_avg,33.57,0.0,8.84382170625031e-05,0.9985811114311218,9.425249099731445
35,fed_avg,33.79,0.0,0.0001244990708073601,0.998613178730011,9.443000793457031
36,fed_avg,34.69,0.0,9.905215119943023e-05,0.9986235499382019,9.460639953613281
37,fed_avg,35.53,0.0,8.982638973975554e-05,0.9986409544944763,9.478395462036133
38,fed_avg,35.62,0.0,9.918034629663453e-05,0.9986527562141418,9.496222496032715
39,fed_avg,36.13,0.0,9.260199294658378e-05,0.9986416697502136,9.513348579406738
40,fed_avg,36.38,0.0,8.725768566364422e-05,0.9986966848373413,9.529484748840332
41,fed_avg,36.86,0.0,7.242074207169935e-05,0.9986742734909058,9.546472549438477
42,fed_avg,37.21,0.0,6.99292286299169e-05,0.9987027049064636,9.56414794921875
43,fed_avg,37.36,0.0,7.243871368700638e-05,0.9986987113952637,9.579970359802246
44,fed_avg,37.69,0.0,6.798086542403325e-05,0.9987137913703918,9.596054077148438
45,fed_avg,37.52,0.0,6.922450847923756e-05,0.9987083673477173,9.611788749694824
46,fed_avg,38.0,0.0,7.038267358439043e-05,0.9987146854400635,9.62729263305664
47,fed_avg,38.73,0.0,7.29113380657509e-05,0.998708188533783,9.642626762390137
48,fed_avg,38.36,0.0,5.176124977879226e-05,0.9987273216247559,9.658244132995605
49,fed_avg,38.86,0.0,4.798400914296508e-05,0.9987364411354065,9.67262077331543
50,fed_avg,39.43,0.0,5.6764514738461e-05,0.9987207055091858,9.686576843261719
