round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,fed_avg,13.81,0.0,1.580063508299645e-05,0.9995030760765076,8.87795639038086
2,fed_avg,12.87,0.0,2.5383133106515743e-05,0.9995081424713135,8.879685401916504
3,fed_avg,13.54,0.0,4.005419759778306e-05,0.9995039105415344,8.882646560668945
4,fed_avg,14.98,0.0,6.839518755441532e-05,0.9994698166847229,8.887333869934082
5,fed_avg,15.69,0.0,0.00012193229486001655,0.9994115233421326,8.8945894241333
6,fed_avg,15.04,0.0,0.00027451664209365845,0.9992676973342896,8.906615257263184
7,fed_avg,15.26,0.0,0.0008658390142954886,0.9988762736320496,8.929022789001465
8,fed_avg,20.74,0.0,0.0032976623624563217,0.9978713393211365,8.9734468460083
9,fed_avg,24.78,0.0,0.0058602094650268555,0.9971328377723694,9.032376289367676
10,fed_avg,27.78,0.0,0.0024053105153143406,0.9979625940322876,9.068745613098145
11,fed_avg,29.16,0.0,0.003495418233796954,0.9982113242149353,9.11885929107666
12,fed_avg,31.0,0.0,0.002248847857117653,0.9983558654785156,9.15698528289795
13,fed_avg,29.75,0.0,0.0030140671879053116,0.9982080459594727,9.20061206817627
14,fed_avg,31.12,0.0,0.0011566785397008061,0.9983615875244141,9.221498489379883
15,fed_avg,30.72,0.0,0.0027100909501314163,0.9982696175575256,9.26266098022461
16,fed_avg,31.32,0.0,0.001966876210644841,0.9983209371566772,9.293931007385254
17,fed_avg,30.72,0.0,0.003340194933116436,0.9981474876403809,9.339425086975098
18,fed_avg,31.02,0.0,0.0027942184824496508,0.9981429576873779,9.378252983093262
19,fed_avg,32.6,0.0,0.004184202291071415,0.9980641603469849,9.427912712097168
20,fed_avg,33.52,0.0,0.0028185206465423107,0.9981354475021362,9.466750144958496
21,fed_avg,34.38,0.0,0.00405453285202384,0.9981269240379333,9.515176773071289
22,fed_avg,33.09,0.0,0.002158821327611804,0.9981313943862915,9.548190116882324
23,fed_avg,33.61,0.0,0.003713420359417796,0.9979267716407776,9.595573425292969
24,fed_avg,29.64,0.0,0.0024111494421958923,0.9980050921440125,9.628304481506348
25,fed_avg,32.57,0.0,0.004039140418171883,0.9976944327354431,9.67407512664795
26,fed_avg,32.02,0.0,0.00227566622197628,0.9980930089950562,9.704474449157715
27,fed_avg,33.06,0.0,0.0036236122250556946,0.9976248145103455,9.746918678283691
28,fed_avg,31.91,0.0,0.002256891457363963,0.9980361461639404,9.779054641723633
29,fed_avg,34.02,0.0,0.004012194462120533,0.9976140260696411,9.820256233215332
30,fed_avg,34.03,0.0,0.00279271905310452,0.9979122281074524,9.853010177612305
31,fed_avg,35.48,0.0,0.0037498630117625,0.9976578950881958,9.895212173461914
32,fed_avg,37.26,0.0,0.0021249856799840927,0.99803227186203,9.923839569091797
33,fed_avg,35.1,0.0,0.004104179795831442,0.997639000415802,9.968438148498535
34,fed_avg,38.14,0.0,0.001988588832318783,0.9980002045631409,9.9948091506958
35,fed_avg,36.61,0.0,0.00468845060095191,0.9975879788398743,10.041646957397461
36,fed_avg,36.56,0.0,0.002410955261439085,0.9979070425033569,10.068533897399902
37,fed_avg,38.34,0.0,0.004187142942100763,0.997584342956543,10.112852096557617
38,fed_avg,38.47,0.0,0.002400835044682026,0.9979888796806335,10.142610549926758
39,fed_avg,38.47,0.0,0.004049328621476889,0.9975006580352783,10.185118675231934
40,fed_avg,40.26,0.0,0.0026688282378017902,0.9979549050331116,10.21568489074707
41,fed_avg,40.35,0.0,0.003928590100258589,0.9975308775901794,10.255535125732422
42,fed_avg,40.63,0.0,0.0030000561382621527,0.9978700876235962,10.28904914855957
43,fed_avg,40.31,0.0,0.003918456379324198,0.9974687695503235,10.32690715789795
44,fed_avg,42.1,0.0,0.0029027897398918867,0.9977513551712036,10.35804271697998
45,fed_avg,40.94,0.0,0.0034429929219186306,0.9975292682647705,10.393704414367676
46,fed_avg,43.14,0.0,0.002835932420566678,0.9978891015052795,10.425695419311523
47,fed_avg,41.96,0.0,0.003082656068727374,0.9975376129150391,10.458772659301758
48,fed_avg,42.93,0.0,0.003272706177085638,0.9977513551712036,10.492696762084961
49,fed_avg,43.19,0.0,0.0033022533170878887,0.9973703622817993,10.524049758911133
50,fed_avg,43.29,0.0,0.003738097380846739,0.9976169466972351,10.560164451599121
