round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,krum,10.0,0.0,1.580063508299645e-05,0.9995030760765076,8.87795639038086
2,krum,10.0,0.0,1.710448668745812e-05,0.9994961023330688,8.878561019897461
3,krum,10.0,0.0,1.853490357461851e-05,0.9994860887527466,8.879581451416016
4,krum,10.0,0.0,2.091326314257458e-05,0.9994630813598633,8.880987167358398
5,krum,10.02,0.0,2.2714057195116766e-05,0.9994454383850098,8.882757186889648
6,krum,10.11,0.0,2.602982203825377e-05,0.9994187355041504,8.88498306274414
7,krum,10.58,0.0,3.249035216867924e-05,0.9993877410888672,8.887855529785156
8,krum,12.37,0.0,4.1291717934655026e-05,0.9993463158607483,8.891407012939453
9,krum,13.28,0.0,6.175165617605671e-05,0.9992910027503967,8.895963668823242
10,krum,14.1,0.0,0.00010141488019144163,0.9992045760154724,8.90174388885498
11,krum,14.47,0.0,0.00016676880477461964,0.9990671873092651,8.909092903137207
12,krum,14.56,0.0,0.00033437638194300234,0.9988573789596558,8.919930458068848
13,krum,15.01,0.0,0.0008058290113694966,0.9984302520751953,8.935320854187012
14,krum,15.44,0.0,0.0019537750631570816,0.9978019595146179,8.958526611328125
15,krum,16.5,0.0,0.004762556403875351,0.9968153834342957,8.992181777954102
16,krum,19.8,0.0,0.00769670307636261,0.9962140917778015,9.030200004577637
17,krum,23.32,0.0,0.006702119018882513,0.9967407584190369,9.057171821594238
18,krum,25.45,0.0,0.004402313847094774,0.997288167476654,9.075716018676758
19,krum,25.15,0.0,0.003995755221694708,0.9975890517234802,9.097124099731445
20,krum,27.93,0.0,0.003520443569868803,0.9976625442504883,9.118597984313965
21,krum,27.77,0.0,0.004435260780155659,0.9976631999015808,9.147229194641113
22,krum,28.4,0.0,0.00426780991256237,0.9976837635040283,9.17224407196045
23,krum,30.83,0.0,0.0035175401717424393,0.9977557063102722,9.19601821899414
24,krum,30.28,0.0,0.0027130593080073595,0.9980409741401672,9.21890640258789
25,krum,31.68,0.0,0.0028120186179876328,0.9980396628379822,9.243912696838379
26,krum,30.34,0.0,0.0024616187438368797,0.9981096982955933,9.266383171081543
27,krum,32.16,0.0,0.0023307637311518192,0.9979289174079895,9.27921199798584
28,krum,33.19,0.0,0.0035772190894931555,0.998029887676239,9.305354118347168
29,krum,33.47,0.0,0.003116703825071454,0.9980868101119995,9.32870864868164
30,krum,34.52,0.0,0.00372879090718925,0.9979389309883118,9.352640151977539
31,krum,35.0,0.0,0.0028012634720653296,0.997978150844574,9.377816200256348
32,krum,34.41,0.0,0.0024676125030964613,0.9979084730148315,9.405193328857422
33,krum,34.84,0.0,0.0033496778924018145,0.9978008270263672,9.431768417358398
34,krum,34.8,0.0,0.002284254413098097,0.9977253675460815,9.452823638916016
35,krum,34.53,0.0,0.003542749211192131,0.9978342652320862,9.483280181884766
36,krum,37.59,0.0,0.0027199233882129192,0.9976463317871094,9.504575729370117
37,krum,36.92,0.0,0.0018701065564528108,0.9977841377258301,9.526994705200195
38,krum,37.98,0.0,0.002106325700879097,0.9978446960449219,9.553929328918457
39,krum,35.56,0.0,0.0015264693647623062,0.9978165030479431,9.575309753417969
40,krum,38.59,0.0,0.002161171054467559,0.9980181455612183,9.593551635742188
41,krum,39.01,0.0,0.001421009306795895,0.9978215098381042,9.614721298217773
42,krum,38.12,0.0,0.001528869615867734,0.9979519844055176,9.639405250549316
43,krum,37.09,0.0,0.0010772572131827474,0.9975975155830383,9.658608436584473
44,krum,39.95,0.0,0.0020853648893535137,0.9976086020469666,9.688798904418945
45,krum,40.52,0.0,0.0009972123662009835,0.9976262450218201,9.705135345458984
46,krum,39.12,0.0,0.0009998701279982924,0.9975523948669434,9.731085777282715
47,krum,38.93,0.0,0.0016188608715310693,0.9977701902389526,9.751863479614258
48,krum,39.57,0.0,0.002691306173801422,0.9977431893348694,9.770500183105469
49,krum,39.95,0.0,0.0020177040714770555,0.9978539943695068,9.784119606018066
50,krum,39.97,0.0,0.0024457199033349752,0.9977403879165649,9.79916763305664
