round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,median,9.81,0.0,8.466860163025558e-05,0.9986058473587036,8.929400444030762
2,median,10.0,0.0,9.879288700176403e-05,0.9985470771789551,8.931856155395508
3,median,10.0,0.0,0.0001283361343666911,0.9984479546546936,8.936406135559082
4,median,10.0,0.0,0.00020125790615566075,0.9982480406761169,8.94392204284668
5,median,10.0,0.0,0.0003794966614805162,0.9978737831115723,8.95583724975586
6,median,10.07,0.0,0.0005658557638525963,0.997397243976593,8.97318172454834
7,median,11.11,0.0,0.0004883716464973986,0.9970199465751648,8.997330665588379
8,median,10.02,0.0,0.0002977004332933575,0.9969931244850159,9.024724006652832
9,median,10.9,0.0,0.00022867924417369068,0.9971811175346375,9.048377990722656
10,median,14.28,0.0,0.00022326693579088897,0.9973798394203186,9.069668769836426
11,median,14.63,0.0,0.0002333975280635059,0.9975458383560181,9.092771530151367
12,median,14.57,0.0,0.00020904873963445425,0.9977189302444458,9.11506462097168
13,median,14.8,0.0,0.00018485027248971164,0.9978097677230835,9.136068344116211
14,median,15.0,0.0,0.0001649719924898818,0.9978832602500916,9.154929161071777
15,median,16.03,0.0,0.00013612763723358512,0.997946560382843,9.174123764038086
16,median,16.2,0.0,0.00015746880671940744,0.9979559779167175,9.194689750671387
17,median,17.97,0.0,0.00015532688121311367,0.9979931116104126,9.216642379760742
18,median,17.69,0.0,0.00015088997315615416,0.9980521202087402,9.2390718460083
19,median,20.18,0.0,0.00011578513658605516,0.9981167316436768,9.262199401855469
20,median,20.35,0.0,0.00011726090451702476,0.9981334805488586,9.284103393554688
21,median,20.42,0.0,0.0001137938306783326,0.9981642365455627,9.30696964263916
22,median,21.82,0.0,0.00011161200382048264,0.9982185959815979,9.327702522277832
23,median,22.37,0.0,0.00011466029536677524,0.9982536435127258,9.349610328674316
24,median,22.5,0.0,9.953979315469041e-05,0.9983093738555908,9.369654655456543
25,median,24.12,0.0,0.00010881390335271135,0.9983249306678772,9.391160011291504
26,median,23.65,0.0,9.246699482901022e-05,0.9983627796173096,9.412904739379883
27,median,25.85,0.0,0.00010117377678398043,0.998376727104187,9.434120178222656
28,median,25.76,0.0,9.156519081443548e-05,0.9983875155448914,9.456746101379395
29,median,27.28,0.0,9.110496466746554e-05,0.9984243512153625,9.479389190673828
30,median,26.85,0.0,8.32559890113771e-05,0.9984109401702881,9.501782417297363
31,median,27.58,0.0,8.846822311170399e-05,0.9984543323516846,9.52371883392334
32,median,27.65,0.0,8.242750482168049e-05,0.9984910488128662,9.545788764953613
33,median,28.04,0.0,7.840333273634315e-05,0.9984798431396484,9.566956520080566
34,median,28.43,0.0,6.932960968697444e-05,0.9985371828079224,9.58958911895752
35,median,28.79,0.0,7.55010187276639e-05,0.9985140562057495,9.612833023071289
36,median,29.02,0.0,8.78043647389859e-05,0.998539388179779,9.636552810668945
37,median,29.58,0.0,8.052148768911138e-05,0.9985663294792175,9.660104751586914
38,median,29.27,0.0,8.372105367016047e-05,0.9985639452934265,9.684549331665039
39,median,29.79,0.0,9.375724039273337e-05,0.9986348748207092,9.709467887878418
40,median,30.59,0.0,7.190943870227784e-05,0.9985965490341187,9.734994888305664
41,median,30.39,0.0,8.859720401233062e-05,0.9986273646354675,9.760466575622559
42,median,30.92,0.0,8.305575465783477e-05,0.9986209869384766,9.78635025024414
43,median,31.29,0.0,9.137740562437102e-05,0.9986725449562073,9.8118896484375
44,median,31.48,0.0,9.458709246246144e-05,0.9986662864685059,9.837162017822266
45,median,31.72,0.0,8.828927821014076e-05,0.9986600279808044,9.862728118896484
46,median,32.04,0.0,9.128306555794552e-05,0.9986943602561951,9.888355255126953
47,median,32.11,0.0,8.995633834274486e-05,0.998708963394165,9.914277076721191
48,median,32.22,0.0,8.748058462515473e-05,0.9987070560455322,9.938804626464844
49,median,32.8,0.0,8.424500992987305e-05,0.9987290501594543,9.965435981750488
50,median,32.51,0.0,9.935092384694144e-05,0.9987490773200989,9.991341590881348
